Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,org:group,resource country,organization country,organization involved,org:role,concept:name,impact,product,lifecycle:transition
1-109135791,Queued-Awaiting Assignment,Minnie,2006-01-12 01:19:42.000,Variant 77,77,Org line A2,INDIA,se,J11 2nd,A2_2,Queued,High,PROD191,Awaiting Assignment
1-109135791,Accepted-In Progress,Minnie,2012-03-15 21:23:52.000,Variant 77,77,Org line A2,INDIA,se,J11 2nd,A2_2,Accepted,High,PROD191,In Progress
1-109135791,Accepted-Assigned,Minnie,2012-03-15 21:26:17.000,Variant 77,77,Org line A2,INDIA,se,J11 2nd,A2_2,Accepted,High,PROD191,Assigned
1-109135791,Accepted-In Progress,Minnie,2012-03-15 21:39:05.000,Variant 77,77,Org line A2,INDIA,se,J11 2nd,A2_2,Accepted,High,PROD191,In Progress
1-109135791,Completed-Closed,Minnie,2012-03-15 21:41:33.000,Variant 77,77,Org line A2,INDIA,se,J11 2nd,A2_2,Completed,High,PROD191,Closed
1-147898401,Accepted-In Progress,Tomas,2006-11-07 19:30:36.000,Variant 78,78,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-147898401,Accepted-In Progress,Tomas,2006-11-07 22:35:44.000,Variant 78,78,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-147898401,Accepted-Wait,Tomas,2009-12-02 23:54:32.000,Variant 78,78,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,Wait
1-147898401,Accepted-In Progress,Tomas,2011-09-03 14:39:09.000,Variant 78,78,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-147898401,Accepted-In Progress,Carrie,2012-01-20 19:53:24.000,Variant 78,78,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-147898401,Completed-Closed,Carrie,2012-01-20 19:53:27.000,Variant 78,78,Org line A2,China,cn,M1 2nd,A2_2,Completed,Medium,PROD753,Closed
1-165554831,Accepted-In Progress,Tomas,2007-03-20 18:36:25.000,Variant 23,23,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-165554831,Accepted-Wait,Tomas,2009-12-02 23:54:31.000,Variant 23,23,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,Wait
1-165554831,Accepted-In Progress,Tomas,2011-09-03 14:40:53.000,Variant 23,23,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-165554831,Accepted-In Progress,Carrie,2012-01-18 18:22:41.000,Variant 23,23,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-165554831,Completed-Closed,Carrie,2012-01-18 18:22:43.000,Variant 23,23,Org line A2,China,cn,M1 2nd,A2_2,Completed,Medium,PROD753,Closed
1-172473423,Accepted-In Progress,Tomas,2007-05-10 23:51:54.000,Variant 23,23,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress
1-172473423,Accepted-Wait,Tomas,2009-12-02 23:54:33.000,Variant 23,23,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Low,PROD753,Wait
1-172473423,Accepted-In Progress,Tomas,2011-09-03 14:40:59.000,Variant 23,23,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress
1-172473423,Accepted-In Progress,Carrie,2012-01-18 17:50:53.000,Variant 23,23,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress
1-172473423,Completed-Closed,Carrie,2012-01-18 17:51:10.000,Variant 23,23,Org line A2,China,cn,M1 2nd,A2_2,Completed,Low,PROD753,Closed
1-182640781,Accepted-In Progress,Niklas,2007-07-25 21:51:05.000,Variant 37,37,Org line A2,Sweden,se,G167 2nd,A2_2,Accepted,Medium,PROD681,In Progress
1-182640781,Accepted-Wait,Niklas,2009-12-02 23:54:32.000,Variant 37,37,Org line A2,Sweden,se,G167 2nd,A2_2,Accepted,Medium,PROD681,Wait
1-182640781,Queued-Awaiting Assignment,Niklas,2010-08-25 18:43:01.000,Variant 37,37,Org line A2,Sweden,se,G167 2nd,A2_2,Queued,Medium,PROD681,Awaiting Assignment
1-182640781,Accepted-In Progress,Niklas,2011-09-05 16:54:13.000,Variant 37,37,Org line A2,Sweden,se,M1 2nd,A2_2,Accepted,Medium,PROD681,In Progress
1-182640781,Accepted-Assigned,Niklas,2011-11-15 01:40:25.000,Variant 37,37,Org line A2,Sweden,se,G167 2nd,A2_2,Accepted,Medium,PROD681,Assigned
1-182640781,Accepted-In Progress,Niklas,2012-01-03 21:00:35.000,Variant 37,37,Org line A2,Sweden,se,G167 2nd,A2_2,Accepted,Medium,PROD681,In Progress
1-182640781,Completed-Closed,Niklas,2012-01-03 21:01:53.000,Variant 37,37,Org line A2,Sweden,se,G167 2nd,A2_2,Completed,Medium,PROD681,Closed
1-230541365,Accepted-In Progress,Tomas,2008-05-08 02:28:51.000,Variant 79,79,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,High,PROD753,In Progress
1-230541365,Accepted-In Progress,Tomas,2008-10-07 01:14:37.000,Variant 79,79,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,High,PROD753,In Progress
1-230541365,Accepted-Wait,Tomas,2009-12-02 23:54:34.000,Variant 79,79,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,High,PROD753,Wait
1-230541365,Accepted-In Progress,Tomas,2011-09-02 07:57:50.000,Variant 79,79,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,High,PROD753,In Progress
1-230541365,Accepted-In Progress,Tomas,2011-09-02 07:57:55.000,Variant 79,79,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,High,PROD753,In Progress
1-230541365,Accepted-In Progress,Carrie,2012-01-20 17:23:32.000,Variant 79,79,Org line A2,China,cn,M1 2nd,A2_2,Accepted,High,PROD753,In Progress
1-230541365,Completed-Closed,Carrie,2012-01-20 17:23:35.000,Variant 79,79,Org line A2,China,cn,M1 2nd,A2_2,Completed,High,PROD753,Closed
1-236817141,Accepted-In Progress,Tomas,2008-06-04 19:32:18.000,Variant 37,37,Org line A2,Sweden,cn,G167 2nd,A2_2,Accepted,Medium,PROD681,In Progress
1-236817141,Accepted-Wait,Tomas,2009-12-02 23:54:34.000,Variant 37,37,Org line A2,Sweden,cn,G167 2nd,A2_2,Accepted,Medium,PROD681,Wait
1-236817141,Queued-Awaiting Assignment,Tomas,2010-08-25 18:36:45.000,Variant 37,37,Org line A2,Sweden,cn,G167 2nd,A2_2,Queued,Medium,PROD681,Awaiting Assignment
1-236817141,Accepted-In Progress,Tomas,2011-09-03 15:32:11.000,Variant 37,37,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD681,In Progress
1-236817141,Accepted-Assigned,Niklas,2011-11-15 01:39:27.000,Variant 37,37,Org line A2,Sweden,cn,G167 2nd,A2_2,Accepted,Medium,PROD681,Assigned
1-236817141,Accepted-In Progress,Tomas,2012-01-05 23:38:18.000,Variant 37,37,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD681,In Progress
1-236817141,Completed-Closed,Tomas,2012-01-05 23:39:00.000,Variant 37,37,Org line A2,Sweden,cn,M1 2nd,A2_2,Completed,Medium,PROD681,Closed
1-270399977,Accepted-In Progress,Juan,2008-11-13 19:13:32.000,Variant 80,80,Org line V7n,Netherlands,nl,V32 2nd,,Accepted,High,PROD542,In Progress
1-270399977,Accepted-In Progress,Juan,2012-01-30 20:26:24.000,Variant 80,80,Org line V7n,Netherlands,nl,V32 2nd,,Accepted,High,PROD542,In Progress
1-270399977,Accepted-In Progress,Juan,2012-01-30 20:42:05.000,Variant 80,80,Org line V7n,Netherlands,nl,V32 2nd,,Accepted,High,PROD542,In Progress
1-270399977,Queued-Awaiting Assignment,Earl,2012-02-17 00:22:16.000,Variant 80,80,Org line V7n,Netherlands,nl,V32 2nd,,Queued,High,PROD542,Awaiting Assignment
1-270399977,Accepted-In Progress,Juan,2012-02-17 00:39:17.000,Variant 80,80,Org line V7n,Netherlands,nl,V37 2nd,,Accepted,High,PROD542,In Progress
1-270399977,Queued-Awaiting Assignment,Earl,2012-02-17 00:39:43.000,Variant 80,80,Org line V7n,Netherlands,nl,V32 2nd,,Queued,High,PROD542,Awaiting Assignment
1-270399977,Accepted-In Progress,Juan,2012-02-17 00:40:10.000,Variant 80,80,Org line V7n,Netherlands,nl,V37 2nd,,Accepted,High,PROD542,In Progress
1-270399977,Completed-Closed,Juan,2012-03-19 18:56:32.000,Variant 80,80,Org line V7n,Netherlands,nl,V37 2nd,,Completed,High,PROD542,Closed
1-270427461,Accepted-In Progress,Tomas,2008-11-13 20:31:04.000,Variant 23,23,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress
1-270427461,Accepted-Wait,Tomas,2009-12-02 23:54:35.000,Variant 23,23,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Low,PROD753,Wait
1-270427461,Accepted-In Progress,Tomas,2011-11-15 01:27:27.000,Variant 23,23,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress
1-270427461,Accepted-In Progress,Carrie,2012-01-18 19:47:14.000,Variant 23,23,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress
1-270427461,Completed-Closed,Carrie,2012-01-18 19:49:21.000,Variant 23,23,Org line A2,China,cn,M1 2nd,A2_2,Completed,Low,PROD753,Closed
1-310231291,Accepted-In Progress,Mats,2009-06-25 17:17:52.000,Variant 4,4,Org line A2,Sweden,se,M18 2nd,A2_1,Accepted,Medium,PROD38,In Progress
1-310231291,Accepted-In Progress,Mats,2012-03-28 21:40:36.000,Variant 4,4,Org line A2,Sweden,se,M18 2nd,A2_1,Accepted,Medium,PROD38,In Progress
1-310231291,Completed-Closed,Mats,2012-03-28 21:42:08.000,Variant 4,4,Org line A2,Sweden,se,M18 2nd,A2_1,Completed,Medium,PROD38,Closed
1-316086072,Accepted-In Progress,Per,2009-08-11 16:14:51.000,Variant 81,81,Org line C,Sweden,se,G260 2nd,E_10,Accepted,Medium,PROD425,In Progress
1-316086072,Queued-Awaiting Assignment,Per,2009-08-11 16:25:12.000,Variant 81,81,Org line C,Sweden,se,G260 2nd,E_10,Queued,Medium,PROD425,Awaiting Assignment
1-316086072,Accepted-Assigned,Per,2009-08-11 19:31:25.000,Variant 81,81,Org line C,Sweden,se,G260 2nd,E_10,Accepted,Medium,PROD425,Assigned
1-316086072,Queued-Awaiting Assignment,Per,2010-05-18 20:05:53.000,Variant 81,81,Org line C,Sweden,se,G260 2nd,E_10,Queued,Medium,PROD425,Awaiting Assignment
1-316086072,Accepted-In Progress,Tony,2010-06-16 19:30:32.000,Variant 81,81,Org line C,Sweden,se,G152 3rd,C_6,Accepted,Medium,PROD425,In Progress
1-316086072,Accepted-Wait,Tony,2011-10-02 07:10:28.000,Variant 81,81,Org line C,Sweden,se,G152 3rd,C_6,Accepted,Medium,PROD425,Wait
1-316086072,Queued-Awaiting Assignment,Tony,2011-12-07 22:11:00.000,Variant 81,81,Org line C,Sweden,se,G260 2nd,E_10,Queued,Medium,PROD425,Awaiting Assignment
1-316086072,Accepted-In Progress,Reza,2012-02-15 21:31:20.000,Variant 81,81,Org line C,Sweden,se,G150 2nd,E_10,Accepted,Medium,PROD425,In Progress
1-316086072,Completed-Closed,Reza,2012-02-20 07:27:21.000,Variant 81,81,Org line C,Sweden,se,G150 2nd,E_10,Completed,Medium,PROD425,Closed
1-320604521,Accepted-In Progress,Richard,2009-09-07 22:03:24.000,Variant 42,42,Org line C,Sweden,se,G237 3rd,C_6,Accepted,Low,PROD498,In Progress
1-320604521,Unmatched-Unmatched,Richard,2009-09-14 19:07:50.000,Variant 42,42,Org line C,Sweden,se,G237 3rd,C_6,Unmatched,Low,PROD498,Unmatched
1-320604521,Completed-Closed,Richard,2012-04-30 19:51:43.000,Variant 42,42,Org line C,Sweden,se,G237 3rd,C_6,Completed,Low,PROD498,Closed
1-322204195,Queued-Awaiting Assignment,Adam,2009-09-17 06:12:12.000,Variant 82,82,Org line A2,POLAND,pl,W16 3rd,A2_1,Queued,Medium,PROD761,Awaiting Assignment
1-322204195,Accepted-In Progress,Adam,2009-09-28 18:56:19.000,Variant 82,82,Org line A2,POLAND,pl,W16 3rd,A2_1,Accepted,Medium,PROD761,In Progress
1-322204195,Accepted-Wait,Adam,2009-09-28 18:56:30.000,Variant 82,82,Org line A2,POLAND,pl,W16 3rd,A2_1,Accepted,Medium,PROD761,Wait
1-322204195,Queued-Awaiting Assignment,Adam,2010-04-08 19:39:22.000,Variant 82,82,Org line A2,POLAND,pl,W16 3rd,A2_1,Queued,Medium,PROD761,Awaiting Assignment
1-322204195,Queued-Awaiting Assignment,Adam,2010-04-08 19:41:51.000,Variant 82,82,Org line A2,POLAND,pl,W15 2nd,A2_1,Queued,Medium,PROD761,Awaiting Assignment
1-322204195,Accepted-In Progress,Adam,2010-04-12 17:35:58.000,Variant 82,82,Org line A2,POLAND,pl,W15 2nd,A2_1,Accepted,Medium,PROD761,In Progress
1-322204195,Accepted-Wait,Adam,2010-04-12 17:40:24.000,Variant 82,82,Org line A2,POLAND,pl,W15 2nd,A2_1,Accepted,Medium,PROD761,Wait
1-322204195,Accepted-In Progress,Adam,2011-10-19 00:39:14.000,Variant 82,82,Org line A2,POLAND,pl,W15 2nd,A2_1,Accepted,Medium,PROD761,In Progress
1-322204195,Accepted-Wait,Adam,2012-05-24 17:32:19.000,Variant 82,82,Org line A2,POLAND,pl,W15 2nd,A2_1,Accepted,Medium,PROD761,Wait
1-322204195,Completed-Closed,Adam,2012-05-24 18:33:31.000,Variant 82,82,Org line A2,POLAND,pl,W15 2nd,A2_1,Completed,Medium,PROD761,Closed
1-322581861,Accepted-In Progress,Stefan,2009-09-18 20:20:02.000,Variant 42,42,Org line C,Sweden,se,L54 2nd,E_3,Accepted,Low,PROD385,In Progress
1-322581861,Unmatched-Unmatched,Stefan,2009-11-17 23:37:38.000,Variant 42,42,Org line C,Sweden,se,L54 2nd,E_3,Unmatched,Low,PROD385,Unmatched
1-322581861,Completed-Closed,Stefan,2012-03-13 21:23:35.000,Variant 42,42,Org line C,Sweden,se,L54 2nd,E_3,Completed,Low,PROD385,Closed
1-322980802,Accepted-In Progress,Kerstin,2009-09-21 21:43:43.000,Variant 1,1,Org line V2,Sweden,se,T2 2nd,,Accepted,Medium,PROD631,In Progress
1-322980802,Completed-Closed,Kerstin,2012-02-07 22:52:11.000,Variant 1,1,Org line V2,Sweden,se,T2 2nd,,Completed,Medium,PROD631,Closed
