Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,org:group,resource country,organization country,organization involved,org:role,concept:name,impact,product,lifecycle:transition
1-147898401,Accepted-In Progress,Tomas,2006-11-07 19:30:36.000,Variant 26,26,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-147898401,Accepted-In Progress,Tomas,2006-11-07 22:35:44.000,Variant 26,26,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-147898401,Accepted-Wait,Tomas,2009-12-02 23:54:32.000,Variant 26,26,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,Wait
1-147898401,Accepted-In Progress,Tomas,2011-09-03 14:39:09.000,Variant 26,26,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-147898401,Accepted-In Progress,Carrie,2012-01-20 19:53:24.000,Variant 26,26,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-147898401,Completed-Closed,Carrie,2012-01-20 19:53:27.000,Variant 26,26,Org line A2,China,cn,M1 2nd,A2_2,Completed,Medium,PROD753,Closed
1-165554831,Accepted-In Progress,Tomas,2007-03-20 18:36:25.000,Variant 10,10,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-165554831,Accepted-Wait,Tomas,2009-12-02 23:54:31.000,Variant 10,10,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,Wait
1-165554831,Accepted-In Progress,Tomas,2011-09-03 14:40:53.000,Variant 10,10,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-165554831,Accepted-In Progress,Carrie,2012-01-18 18:22:41.000,Variant 10,10,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-165554831,Completed-Closed,Carrie,2012-01-18 18:22:43.000,Variant 10,10,Org line A2,China,cn,M1 2nd,A2_2,Completed,Medium,PROD753,Closed
1-172473423,Accepted-In Progress,Tomas,2007-05-10 23:51:54.000,Variant 10,10,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress
1-172473423,Accepted-Wait,Tomas,2009-12-02 23:54:33.000,Variant 10,10,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Low,PROD753,Wait
1-172473423,Accepted-In Progress,Tomas,2011-09-03 14:40:59.000,Variant 10,10,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress
1-172473423,Accepted-In Progress,Carrie,2012-01-18 17:50:53.000,Variant 10,10,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress
1-172473423,Completed-Closed,Carrie,2012-01-18 17:51:10.000,Variant 10,10,Org line A2,China,cn,M1 2nd,A2_2,Completed,Low,PROD753,Closed
1-230541365,Accepted-In Progress,Tomas,2008-05-08 02:28:51.000,Variant 27,27,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,High,PROD753,In Progress
1-230541365,Accepted-In Progress,Tomas,2008-10-07 01:14:37.000,Variant 27,27,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,High,PROD753,In Progress
1-230541365,Accepted-Wait,Tomas,2009-12-02 23:54:34.000,Variant 27,27,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,High,PROD753,Wait
1-230541365,Accepted-In Progress,Tomas,2011-09-02 07:57:50.000,Variant 27,27,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,High,PROD753,In Progress
1-230541365,Accepted-In Progress,Tomas,2011-09-02 07:57:55.000,Variant 27,27,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,High,PROD753,In Progress
1-230541365,Accepted-In Progress,Carrie,2012-01-20 17:23:32.000,Variant 27,27,Org line A2,China,cn,M1 2nd,A2_2,Accepted,High,PROD753,In Progress
1-230541365,Completed-Closed,Carrie,2012-01-20 17:23:35.000,Variant 27,27,Org line A2,China,cn,M1 2nd,A2_2,Completed,High,PROD753,Closed
1-270427461,Accepted-In Progress,Tomas,2008-11-13 20:31:04.000,Variant 10,10,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress
1-270427461,Accepted-Wait,Tomas,2009-12-02 23:54:35.000,Variant 10,10,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Low,PROD753,Wait
1-270427461,Accepted-In Progress,Tomas,2011-11-15 01:27:27.000,Variant 10,10,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress
1-270427461,Accepted-In Progress,Carrie,2012-01-18 19:47:14.000,Variant 10,10,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress
1-270427461,Completed-Closed,Carrie,2012-01-18 19:49:21.000,Variant 10,10,Org line A2,China,cn,M1 2nd,A2_2,Completed,Low,PROD753,Closed
1-310231291,Accepted-In Progress,Mats,2009-06-25 17:17:52.000,Variant 3,3,Org line A2,Sweden,se,M18 2nd,A2_1,Accepted,Medium,PROD38,In Progress
1-310231291,Accepted-In Progress,Mats,2012-03-28 21:40:36.000,Variant 3,3,Org line A2,Sweden,se,M18 2nd,A2_1,Accepted,Medium,PROD38,In Progress
1-310231291,Completed-Closed,Mats,2012-03-28 21:42:08.000,Variant 3,3,Org line A2,Sweden,se,M18 2nd,A2_1,Completed,Medium,PROD38,Closed
1-320604521,Accepted-In Progress,Richard,2009-09-07 22:03:24.000,Variant 17,17,Org line C,Sweden,se,G237 3rd,C_6,Accepted,Low,PROD498,In Progress
1-320604521,Unmatched-Unmatched,Richard,2009-09-14 19:07:50.000,Variant 17,17,Org line C,Sweden,se,G237 3rd,C_6,Unmatched,Low,PROD498,Unmatched
1-320604521,Completed-Closed,Richard,2012-04-30 19:51:43.000,Variant 17,17,Org line C,Sweden,se,G237 3rd,C_6,Completed,Low,PROD498,Closed
1-322581861,Accepted-In Progress,Stefan,2009-09-18 20:20:02.000,Variant 17,17,Org line C,Sweden,se,L54 2nd,E_3,Accepted,Low,PROD385,In Progress
1-322581861,Unmatched-Unmatched,Stefan,2009-11-17 23:37:38.000,Variant 17,17,Org line C,Sweden,se,L54 2nd,E_3,Unmatched,Low,PROD385,Unmatched
1-322581861,Completed-Closed,Stefan,2012-03-13 21:23:35.000,Variant 17,17,Org line C,Sweden,se,L54 2nd,E_3,Completed,Low,PROD385,Closed
1-322980802,Accepted-In Progress,Kerstin,2009-09-21 21:43:43.000,Variant 1,1,Org line V2,Sweden,se,T2 2nd,,Accepted,Medium,PROD631,In Progress
