"","x"
"1","aababacbabaaaaacc"
"2","aabaabaaaaaaaaaaaaabaaaaaaaabaaaaababacc"
"3","aababababaabaaacc"
"4","aababaaabababaaaacc"
"5","aaababaaababababaaababaaaaabababababaaaaaaaababababaaaaaabaacc"
"6","aabaaaacaabaaaaaaaaaaaaaaaaaaacc"
"7","aababaaaaababababaacc"
"8","aababaaabaaacc"
"9","aaaaaacc"
"10","aababaaabababaaaacc"
"11","aababaaabaaabaaaaabaaabaaaaaaaaaababababaaabababaacc"
"12","aababaaaababaaabaaababaaacaaacc"
"13","aabababaaabacc"
"14","aababaabbaaacbababaaabaaaababaaabaaaabaaacc"
"15","aabababaabababaaaaacc"
"16","aabababaaaaacc"
"17","aababaaabababaaaaacc"
"18","aababababaabababacc"
"19","aabaabababaacc"
"20","aabababaaacc"
"21","aababaaababbabababaaacc"
"22","aabacc"
"23","aababbaaabaaacc"
"24","aababababaaacc"
"25","aaabbabaababbaaababaabaaacc"
"26","aababbaaaabababaaacc"
"27","bbabaaababababababaaaaaacc"
"28","aaaabaabaaaaababaaaabaaaaabaacc"
"29","aababbabaaacc"
"30","aabababaabababaaacc"
"31","aaababacbabacc"
"32","aabaaabababbabaaacc"
"33","bbaaaaacc"
"34","aaaaaaac"
"35","aabaaaaaabacc"
"36","aaaaaaaaacc"
"37","aababbabaaacc"
"38","aababbaaaaaaacc"
"39","aabaaaaacc"
"40","aaaabaaaacc"
"41","aababababaaaaaacc"
"42","aababbaaabaaacc"
"43","bbaacc"
"44","aababaaabaaaabaaababaaabacc"
"45","aabaacc"
"46","aababaaabaaacc"
"47","aabababaaaaaaababaaabaaacc"
"48","bbaaacc"
"49","aabaaabaaaaabaaababaaacc"
"50","aabaacaabaabaaabaaaaaaaaaaaaaaabaabaaacc"
"51","aabaabaacbabaaaacc"
"52","aaababababaaabaabbabacc"
"53","aababaacc"
"54","aababababaaacc"
"55","aababaaababaaabababaaacc"
"56","aabababacc"
"57","bbaaaaaaacc"
"58","aaababababaababaababaaabaabababaaaaaaaaacc"
"59","aaababababaabababababababababababababbabababaaababaaabaaaaaaaaaaaaaaaaaaaaaaaabababababacc"
"60","aabaaaacc"
"61","aababababaaaccababbacaaabaaaaabaaababaabaaaababacc"
"62","aababbaaaaaacc"
"63","aaabaaaacc"
"64","aaaaaacc"
"65","baaaabababaabbaaaaaaacc"
"66","aababababaaabababaaaaabacc"
"67","aababababaaabacc"
"68","aabababababacc"
"69","aababbaaaaaacabababababaaacc"
"70","babbaaaaaacc"
"71","aaaaacc"
"72","aabbabaaaabaaabaaababababababababaaabababaaacc"
"73","aaaaaaacc"
"74","babaaaaaacc"
"75","aabaaaabaabbabaabaabacbabaaacc"
"76","bbbaaacc"
"77","aaaacabaaaacc"
"78","aabaaaaabaaabbaaabacc"
"79","aabaaababaaacc"
"80","aacc"
"81","aaaaacc"
"82","aababaaabacc"
"83","bbbaaacc"
"84","aababaaababaaacc"
"85","aabaaabababababaaabaaacc"
"86","aaabababaabaaacc"
"87","aabaabbababacc"
"88","aaabaaabaabbaabaaabbaaabaabaaacc"
"89","aaaaacc"
"90","aaaabaacaacccabababacc"
"91","aababbaababababaabaaacc"
"92","aabaaaacc"
"93","aabaaabaaacc"
"94","aabaacc"
"95","aababacc"
"96","aacaaaaaacc"
"97","aaaacc"
"98","bbbaaaaaacc"
"99","aaaaacc"
"100","aabababaaaacc"
"101","aabaaaaaaaaacc"
"102","aaaaaaaaaaaabaaaaaaaaabacc"
"103","aabaccabaaaaaaaababacc"
"104","aabaabaacc"
"105","aababaababaacc"
"106","aabaacc"
"107","aaaaacc"
"108","aababaababaaababaaaacc"
"109","babaaaaaacc"
"110","babaaaacc"
"111","aabaacc"
"112","aabababacc"
"113","aabaacc"
"114","aaababababaabaaabacc"
"115","aabacbacc"
"116","baabababaaacc"
"117","aabaaabaaaaabbaabaaabaabaaacc"
"118","bbaaaacc"
"119","aababaaabaaabaaaababaaaaaaaaaabaaaabbbabaaaabbaaababaaababaaabaaababababababaaabaaabaaaaaaababaaabaababaaababaaaaacc"
"120","aababacc"
"121","aaabaacc"
"122","aabababaaacc"
"123","aaaaacc"
"124","aaaababaaaababaaaaaaaaaaaaaaaaaaaacc"
"125","aababaabaacc"
"126","bbaaaacc"
"127","aabaaaaaabaacc"
"128","aaaaabaabaaaaaabaababababaaacc"
"129","aaaaabaaacc"
"130","aabbaaaaaccaaabababaaaaccaabbabbaaaababaaaababaaabababaaacc"
"131","bbbaacc"
"132","bababaaabaaacbabaacc"
"133","aabacc"
"134","aaababababaaaaaaaababaaaabababababaaaaaaaaaaaaababababbaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbaaaacc"
"135","aaaaaaaaaaaaaaaabaaaacc"
"136","aababaaaaacc"
"137","aaaacc"
"138","aabaaaacc"
"139","aabababaaacc"
"140","aabababababaaabaaacc"
"141","aabaacc"
"142","bbabaaaaaaacc"
"143","aabaaaaaacc"
"144","babbaaaacc"
"145","babaacbaacc"
"146","aaacc"
"147","aababaacc"
"148","aababaaaabaaacc"
"149","aababaaaaababbaacc"
"150","aabaaaababacc"
"151","bbababaaaaaaabacbabbabaacc"
"152","aababaaababaaababaaababaababbacc"
"153","aabaaababaaacc"
"154","aabaacc"
"155","aabaaabaaabaaaaaabbbacbaaaacc"
"156","aabaaabaababbaaccabbabaaabaaacc"
"157","aaabaaaabaaaaaccbaaaaccbaaaaaaaacc"
"158","aabaacc"
"159","aababacc"
"160","aabaaaababaaacc"
"161","aababababaababaaaababababababaaababbaaabacc"
"162","bbababaaaacc"
"163","aabaaabaaaccbaaaababaaacaaabaaababaaababaaaabaaabaaaaaccabaaabaaaabaaaaaaacc"
"164","aaaaaabaabacc"
"165","aababaaabababaaacaababacc"
"166","aabaaaaabbaaacc"
"167","aabaaabbacc"
"168","aababaabababaaabaaacc"
"169","aabbaabaaaaacc"
"170","aababaaacaaaacc"
"171","aaaacc"
"172","aabaaaabacc"
"173","aaaaaacc"
"174","aabbabbabaaababbaabaaabacc"
"175","aabaaaababacbacc"
"176","baaaaaacc"
"177","aaaaacc"
"178","aababaaabaaabaaaaaabaaacc"
"179","aababababaaababababaabaaabababaaaaaabaaabaaaaababacc"
"180","aabaacc"
"181","bbaaaababaaabababacc"
"182","aaaaaaababaaababaaacc"
"183","aababaaaababababaaaaabbabababaaabbabaababababaaaaababaaabacc"
"184","aaaaacc"
"185","aabababaaaaaaababaaabacc"
"186","aaabaaccabaaccabaacc"
"187","aaaabababbabababbaaacc"
"188","babaaaaaacc"
"189","abbaaaaaabaacbabaabaacc"
"190","aabaaabababaabacc"
"191","aabaabaaacc"
"192","aababaaaaccabaaaaccacc"
"193","aababacc"
"194","aabaaacc"
"195","babbaaaaababaacc"
"196","aaaacc"
"197","bbaaaaaaaaccbaaaaacc"
"198","aaacc"
"199","aabaaababaaabababaaabbababababababababababababaacc"
"200","bbabaaaaaacaaaaaacc"
"201","babababaaaacc"
"202","bbabaaaaaaaccaacc"
"203","aababababacc"
"204","aabaaaaaccaaaaccabaaabaaabababaaacc"
"205","baabacc"
"206","bbaaacc"
"207","aabbaaabaaacabbacc"
"208","aabaaaaaaabaacc"
"209","aaacc"
"210","aaacc"
"211","aabaaabaaabbabbaaacc"
"212","aabbaaacc"
"213","aabaaaaaaabaaabaaababbaaabaaaaabaababaaaaababababababacc"
"214","baaaaaaaccaaaabaaaaaaabacc"
"215","aabaabaaaacc"
"216","bbaaaacc"
"217","aaababaaabaaaacc"
"218","aabababaababababbaaccababaaaaababaaabaaacc"
"219","aabaaaacbaaaaaacc"
"220","aabababbaaaabacc"
"221","aababacc"
"222","aabaaabbabaaacc"
"223","baacc"
"224","baaaaabaabaaaabaaabacbaaabaababaaaaaacc"
"225","aaaaaacc"
"226","aababaaaabaaabaaababacc"
